"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","response"
"86",31,"employed","divorced","high.school","no","no","no","telephone","may","mon",246,1,"no"
"87",41,"employed","married","basic","no","no","no","telephone","may","mon",529,2,"no"
"88",39,"employed","married","university.degree","no","yes","yes","telephone","may","mon",192,1,"no"
"89",49,"employed","married","basic","no","no","no","telephone","may","mon",1467,1,"yes"
"90",34,"employed","married","high.school","no","yes","no","telephone","may","mon",188,2,"no"
"91",35,"employed","married","university.degree","no","yes","no","telephone","may","mon",180,2,"no"
"94",33,"unemployed","married","basic","no","no","no","telephone","may","mon",545,1,"no"
"95",42,"employed","married","basic","no","no","yes","telephone","may","mon",583,1,"no"
"96",45,"employed","married","professional.course","no","yes","no","telephone","may","mon",221,1,"no"
"97",42,"employed","married","university.degree","no","no","no","telephone","may","mon",426,1,"no"
"99",37,"employed","single","professional.course","no","no","no","telephone","may","mon",197,1,"no"
"100",44,"employed","married","basic","no","no","no","telephone","may","mon",257,1,"no"
"102",49,"employed","married","basic","no","no","no","telephone","may","mon",55,3,"no"
"104",52,"employed","divorced","university.degree","no","no","no","telephone","may","mon",197,1,"no"
"105",52,"employed","divorced","university.degree","no","no","no","telephone","may","mon",190,1,"no"
"107",34,"employed","married","basic","no","yes","no","telephone","may","mon",300,2,"no"
"108",35,"employed","married","high.school","no","yes","no","telephone","may","mon",123,2,"no"
"113",35,"employed","divorced","high.school","no","yes","no","telephone","may","mon",194,1,"no"
"115",37,"employed","married","university.degree","no","no","no","telephone","may","mon",337,2,"no"
"116",36,"employed","married","high.school","no","no","no","telephone","may","mon",286,1,"no"
"117",52,"employed","divorced","university.degree","no","no","no","telephone","may","mon",247,2,"no"
"122",49,"employed","divorced","high.school","no","no","no","telephone","may","mon",439,1,"no"
"123",41,"employed","married","high.school","no","no","no","telephone","may","mon",139,1,"no"
"124",45,"employed","married","high.school","no","yes","no","telephone","may","mon",79,1,"no"
"125",32,"employed","married","university.degree","no","yes","yes","telephone","may","mon",175,1,"no"
"126",42,"employed","married","university.degree","no","no","yes","telephone","may","mon",262,2,"no"
"127",50,"employed","married","basic","no","no","no","telephone","may","mon",61,1,"no"
"128",31,"employed","divorced","professional.course","no","yes","yes","telephone","may","mon",78,1,"no"
"129",56,"non-labor","married","basic","no","yes","no","telephone","may","mon",102,2,"no"
"131",37,"employed","married","basic","no","yes","yes","telephone","may","mon",143,1,"no"
"134",37,"employed","married","basic","no","yes","no","telephone","may","mon",345,1,"no"
"135",52,"employed","married","university.degree","no","no","no","telephone","may","mon",185,1,"no"
"136",39,"employed","divorced","university.degree","no","no","no","telephone","may","mon",207,1,"no"
"139",34,"employed","married","high.school","no","yes","no","telephone","may","mon",125,2,"no"
"141",43,"unemployed","single","university.degree","no","yes","no","telephone","may","mon",240,1,"no"
"143",39,"employed","married","university.degree","no","yes","no","telephone","may","mon",193,1,"no"
"144",53,"employed","married","basic","no","yes","no","telephone","may","mon",136,1,"no"
"148",35,"employed","single","high.school","no","yes","no","telephone","may","mon",338,1,"no"
"150",51,"employed","married","basic","no","yes","no","telephone","may","mon",87,1,"no"
"156",36,"employed","married","basic","no","yes","yes","telephone","may","mon",98,1,"no"
"159",43,"employed","single","professional.course","no","yes","no","telephone","may","mon",186,2,"no"
"160",59,"employed","married","high.school","no","no","no","telephone","may","mon",579,2,"no"
"161",24,"employed","single","university.degree","no","yes","no","telephone","may","mon",165,2,"no"
"166",37,"employed","married","basic","no","no","no","telephone","may","mon",85,1,"no"
"167",38,"employed","married","high.school","no","yes","yes","telephone","may","mon",506,1,"no"
"170",54,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",843,2,"no"
"173",45,"employed","married","university.degree","no","yes","yes","telephone","may","mon",292,1,"no"
"175",43,"employed","married","high.school","no","no","no","telephone","may","mon",93,3,"no"
"176",46,"employed","married","basic","no","no","no","telephone","may","mon",128,2,"no"
"177",44,"employed","married","high.school","no","yes","yes","telephone","may","mon",107,1,"no"
"178",51,"employed","single","basic","no","no","no","telephone","may","mon",303,2,"no"
"179",28,"employed","married","high.school","no","yes","no","telephone","may","mon",81,1,"no"
"180",37,"employed","married","basic","no","no","no","telephone","may","mon",270,1,"no"
"181",34,"employed","married","high.school","no","no","no","telephone","may","mon",228,1,"no"
"183",42,"employed","married","basic","no","yes","yes","telephone","may","mon",673,2,"yes"
"184",36,"employed","married","university.degree","no","yes","no","telephone","may","mon",233,3,"no"
"186",57,"employed","married","university.degree","no","no","no","telephone","may","mon",461,1,"no"
"190",34,"employed","married","university.degree","no","yes","no","telephone","may","mon",138,1,"no"
"191",41,"employed","married","professional.course","no","no","no","telephone","may","mon",412,1,"no"
"192",38,"employed","single","basic","no","yes","no","telephone","may","mon",179,2,"no"
"193",45,"employed","divorced","university.degree","no","no","no","telephone","may","mon",19,2,"no"
"194",42,"employed","married","university.degree","no","no","no","telephone","may","mon",228,2,"no"
"196",48,"employed","married","basic","no","yes","no","telephone","may","mon",717,1,"no"
"200",43,"employed","married","basic","no","yes","no","telephone","may","mon",1077,1,"no"
"201",33,"employed","married","high.school","no","no","no","telephone","may","mon",146,2,"no"
"202",32,"employed","single","basic","no","no","no","telephone","may","mon",167,1,"no"
"203",39,"employed","married","high.school","no","yes","no","telephone","may","mon",356,2,"no"
"205",44,"employed","married","basic","no","yes","no","telephone","may","mon",172,1,"no"
"208",35,"unemployed","married","professional.course","no","no","no","telephone","may","mon",67,1,"no"
"209",36,"employed","single","basic","no","no","no","telephone","may","mon",291,1,"no"
"211",36,"non-labor","single","basic","no","yes","no","telephone","may","mon",256,1,"no"
"212",55,"employed","divorced","university.degree","no","no","no","telephone","may","mon",286,1,"no"
"213",59,"employed","married","university.degree","no","no","no","telephone","may","mon",477,1,"no"
"220",40,"employed","married","high.school","no","no","no","telephone","may","mon",322,3,"no"
"221",35,"employed","married","high.school","no","yes","no","telephone","may","mon",216,2,"no"
"225",40,"employed","married","basic","no","no","no","telephone","may","mon",168,1,"no"
"226",58,"non-labor","married","university.degree","no","no","no","telephone","may","mon",132,1,"no"
"227",42,"employed","married","university.degree","no","no","no","telephone","may","mon",64,2,"no"
"228",35,"employed","single","university.degree","no","no","no","telephone","may","mon",209,2,"no"
"230",45,"employed","married","basic","no","yes","yes","telephone","may","mon",177,1,"no"
"231",39,"employed","married","professional.course","no","yes","no","telephone","may","mon",580,2,"no"
"232",50,"employed","divorced","professional.course","no","yes","no","telephone","may","mon",165,1,"no"
"236",44,"employed","married","professional.course","no","yes","no","telephone","may","mon",300,1,"no"
"237",56,"employed","married","basic","no","no","no","telephone","may","mon",136,1,"no"
"238",48,"employed","married","high.school","no","no","no","telephone","may","mon",125,2,"no"
"241",57,"non-labor","married","high.school","no","no","no","telephone","may","mon",238,2,"no"
"242",36,"employed","single","professional.course","no","no","no","telephone","may","mon",124,1,"no"
"243",34,"employed","married","university.degree","no","yes","no","telephone","may","mon",18,1,"no"
"244",34,"employed","single","basic","no","no","no","telephone","may","mon",730,2,"no"
"247",32,"employed","single","professional.course","no","no","no","telephone","may","mon",79,1,"no"
"248",36,"employed","single","high.school","no","yes","no","telephone","may","mon",142,2,"no"
"249",36,"employed","single","high.school","no","no","yes","telephone","may","mon",389,1,"no"
"250",33,"employed","single","high.school","no","no","no","telephone","may","mon",702,1,"no"
"251",40,"employed","divorced","professional.course","no","no","no","telephone","may","mon",151,1,"no"
"252",41,"employed","married","basic","no","yes","no","telephone","may","mon",211,1,"no"
"253",51,"employed","married","basic","no","yes","no","telephone","may","mon",117,1,"no"
"254",36,"employed","married","professional.course","no","yes","no","telephone","may","mon",232,3,"no"
"256",53,"employed","married","high.school","no","yes","yes","telephone","may","mon",370,3,"no"
"258",45,"employed","married","basic","no","no","yes","telephone","may","mon",46,1,"no"
"260",33,"employed","married","high.school","no","no","yes","telephone","may","mon",50,1,"no"
"261",33,"employed","married","high.school","no","no","yes","telephone","may","mon",181,1,"no"
"263",42,"employed","married","high.school","no","no","no","telephone","may","mon",361,1,"no"
"264",43,"employed","divorced","basic","no","no","no","telephone","may","mon",73,3,"no"
"265",42,"employed","married","university.degree","no","no","no","telephone","may","mon",67,2,"no"
"266",27,"employed","single","basic","no","no","no","telephone","may","mon",350,1,"no"
"267",34,"employed","single","university.degree","no","yes","no","telephone","may","mon",150,2,"no"
"269",54,"employed","divorced","university.degree","no","no","no","telephone","may","mon",611,2,"no"
"272",47,"employed","divorced","university.degree","no","no","no","telephone","may","mon",89,2,"no"
"274",32,"employed","single","high.school","no","no","no","telephone","may","mon",611,2,"no"
"277",34,"employed","married","high.school","no","no","no","telephone","may","mon",962,1,"no"
"279",47,"employed","single","basic","no","no","no","telephone","may","mon",10,4,"no"
"280",51,"non-labor","married","professional.course","no","no","no","telephone","may","mon",118,3,"no"
"281",47,"employed","married","basic","no","no","no","telephone","may","mon",92,2,"no"
"282",56,"employed","married","basic","no","yes","no","telephone","may","mon",143,3,"no"
"283",53,"employed","married","basic","no","no","no","telephone","may","mon",189,3,"no"
"284",36,"employed","married","basic","no","yes","no","telephone","may","mon",75,2,"no"
"285",42,"employed","divorced","basic","no","yes","no","telephone","may","mon",189,2,"no"
"286",44,"employed","divorced","basic","no","no","no","telephone","may","mon",55,2,"no"
"287",39,"employed","married","basic","no","yes","no","telephone","may","mon",935,3,"yes"
"288",37,"employed","single","high.school","no","yes","yes","telephone","may","mon",56,2,"no"
"290",36,"employed","married","high.school","no","no","no","telephone","may","mon",225,2,"no"
"291",42,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",125,2,"no"
"292",31,"employed","married","high.school","no","yes","yes","telephone","may","mon",286,2,"no"
"294",45,"employed","married","basic","no","yes","no","telephone","may","mon",164,2,"no"
"295",37,"employed","single","professional.course","no","yes","no","telephone","may","mon",98,2,"no"
"296",47,"employed","married","professional.course","no","no","no","telephone","may","mon",446,2,"no"
"297",49,"employed","divorced","high.school","no","no","yes","telephone","may","mon",742,2,"no"
"298",36,"employed","married","university.degree","no","yes","no","telephone","may","mon",120,2,"no"
"299",35,"employed","divorced","high.school","no","no","no","telephone","may","mon",122,3,"no"
"305",42,"employed","married","high.school","no","yes","no","telephone","may","mon",248,2,"no"
"308",57,"employed","divorced","basic","no","yes","yes","telephone","may","mon",205,2,"no"
"309",42,"employed","married","university.degree","no","yes","no","telephone","may","mon",261,3,"no"
"310",41,"employed","married","basic","no","yes","no","telephone","may","mon",83,2,"no"
"311",54,"employed","divorced","university.degree","no","yes","no","telephone","may","mon",106,3,"no"
"312",27,"employed","single","university.degree","no","no","no","telephone","may","mon",106,2,"no"
"313",36,"employed","married","high.school","no","no","no","telephone","may","mon",108,2,"no"
"317",33,"employed","divorced","high.school","no","no","no","telephone","may","mon",364,2,"no"
"318",56,"non-labor","married","basic","no","no","no","telephone","may","mon",136,2,"no"
"319",42,"employed","married","basic","no","no","no","telephone","may","mon",173,2,"no"
"320",43,"employed","married","high.school","no","yes","no","telephone","may","mon",241,2,"no"
"321",54,"employed","single","basic","no","yes","no","telephone","may","mon",224,3,"no"
"322",53,"employed","single","basic","no","yes","yes","telephone","may","mon",148,2,"no"
"325",54,"employed","married","professional.course","no","yes","yes","telephone","may","mon",196,2,"no"
"326",40,"employed","single","professional.course","no","no","no","telephone","may","mon",111,4,"no"
"327",26,"employed","single","university.degree","no","yes","no","telephone","may","mon",231,3,"no"
"328",33,"employed","married","high.school","no","no","no","telephone","may","mon",316,3,"no"
"330",36,"employed","married","high.school","no","no","no","telephone","may","mon",669,3,"no"
"331",29,"employed","single","high.school","no","yes","no","telephone","may","mon",425,2,"no"
"332",36,"employed","married","basic","no","yes","no","telephone","may","mon",121,2,"no"
"333",35,"employed","married","high.school","no","yes","no","telephone","may","mon",174,5,"no"
"334",50,"employed","single","university.degree","no","no","yes","telephone","may","mon",88,5,"no"
"336",49,"employed","married","high.school","no","yes","no","telephone","may","mon",135,4,"no"
"338",36,"employed","single","high.school","no","yes","yes","telephone","may","mon",402,3,"no"
"342",32,"employed","single","high.school","no","yes","no","telephone","may","mon",158,3,"no"
"343",49,"employed","married","basic","no","no","no","telephone","may","mon",220,3,"no"
"345",58,"employed","divorced","basic","no","yes","no","telephone","may","mon",254,2,"no"
"346",52,"employed","married","high.school","no","yes","no","telephone","may","mon",503,2,"no"
"347",50,"employed","divorced","professional.course","no","no","no","telephone","may","mon",680,2,"no"
"349",33,"employed","married","university.degree","no","yes","no","telephone","may","mon",130,3,"no"
"350",57,"employed","married","basic","no","no","no","telephone","may","mon",164,2,"no"
"352",55,"employed","married","professional.course","no","no","no","telephone","may","mon",113,2,"no"
"353",38,"employed","married","university.degree","no","no","no","telephone","may","mon",195,2,"no"
"354",38,"employed","married","high.school","no","yes","no","telephone","may","mon",347,3,"no"
"355",53,"employed","married","university.degree","no","yes","no","telephone","may","mon",208,2,"no"
"356",43,"unemployed","single","university.degree","no","no","no","telephone","may","mon",404,4,"no"
"357",36,"employed","single","high.school","no","no","no","telephone","may","mon",396,2,"no"
"358",32,"employed","married","basic","no","no","no","telephone","may","mon",98,2,"no"
"359",33,"employed","married","basic","no","no","no","telephone","may","mon",229,3,"no"
"360",58,"employed","married","basic","no","yes","no","telephone","may","mon",350,2,"no"
"362",57,"employed","married","university.degree","no","yes","no","telephone","may","tue",379,2,"no"
"363",45,"employed","married","high.school","no","yes","no","telephone","may","tue",168,3,"no"
"365",46,"employed","married","university.degree","no","yes","no","telephone","may","tue",158,1,"no"
"366",36,"employed","married","university.degree","no","no","no","telephone","may","tue",210,1,"no"
"367",41,"employed","married","high.school","no","yes","no","telephone","may","tue",102,1,"no"
"368",57,"employed","divorced","basic","no","no","no","telephone","may","tue",306,1,"no"
"370",56,"employed","divorced","high.school","no","no","no","telephone","may","tue",218,1,"no"
"371",37,"employed","married","basic","no","no","no","telephone","may","tue",77,1,"no"
"372",37,"employed","married","basic","no","no","yes","telephone","may","tue",54,1,"no"
"373",46,"employed","single","high.school","no","yes","no","telephone","may","tue",344,1,"no"
"374",22,"employed","single","basic","no","yes","no","telephone","may","tue",195,1,"no"
"375",43,"employed","married","high.school","no","no","no","telephone","may","tue",202,1,"no"
"377",41,"employed","married","basic","no","yes","no","telephone","may","tue",278,1,"no"
"378",38,"employed","single","university.degree","no","no","no","telephone","may","tue",189,1,"no"
"379",33,"employed","married","basic","no","no","no","telephone","may","tue",83,1,"no"
"380",49,"employed","married","university.degree","no","yes","yes","telephone","may","tue",18,1,"no"
"382",33,"employed","married","basic","no","yes","no","telephone","may","tue",235,1,"no"
"383",34,"employed","single","university.degree","no","no","no","telephone","may","tue",290,1,"no"
"387",41,"employed","married","university.degree","no","no","no","telephone","may","tue",402,1,"no"
"390",44,"employed","married","high.school","no","yes","no","telephone","may","tue",1030,1,"yes"
"393",35,"employed","married","university.degree","no","no","no","telephone","may","tue",144,1,"no"
"394",42,"employed","married","high.school","no","no","no","telephone","may","tue",69,1,"no"
"395",45,"employed","married","basic","no","no","no","telephone","may","tue",243,1,"no"
"396",36,"employed","married","professional.course","no","no","no","telephone","may","tue",769,2,"no"
"398",29,"employed","divorced","basic","no","no","no","telephone","may","tue",231,1,"no"
"399",41,"employed","married","university.degree","no","yes","yes","telephone","may","tue",442,2,"no"
"401",52,"employed","single","high.school","no","no","no","telephone","may","tue",455,1,"no"
"406",42,"employed","married","university.degree","no","yes","no","telephone","may","tue",154,1,"no"
"407",52,"employed","divorced","basic","no","no","no","telephone","may","tue",393,1,"no"
"408",39,"employed","married","high.school","no","yes","no","telephone","may","tue",203,2,"no"
"409",36,"employed","married","high.school","no","no","yes","telephone","may","tue",140,2,"no"
"411",41,"employed","married","high.school","no","no","no","telephone","may","tue",483,1,"no"
"412",55,"employed","married","basic","no","no","yes","telephone","may","tue",259,1,"no"
"413",30,"employed","married","basic","no","no","no","telephone","may","tue",227,1,"no"
"419",27,"employed","married","high.school","no","yes","no","telephone","may","tue",245,1,"no"
"420",34,"employed","single","university.degree","no","yes","no","telephone","may","tue",186,1,"no"
"422",43,"employed","married","basic","no","no","no","telephone","may","tue",623,1,"no"
"426",49,"employed","married","basic","no","no","no","telephone","may","tue",102,2,"no"
"427",58,"employed","married","basic","no","no","no","telephone","may","tue",342,1,"no"
"428",43,"employed","married","professional.course","no","yes","no","telephone","may","tue",225,1,"no"
"431",43,"employed","divorced","university.degree","no","no","no","telephone","may","tue",87,1,"no"
"433",30,"employed","single","university.degree","no","yes","no","telephone","may","tue",262,1,"no"
"434",27,"employed","single","professional.course","no","yes","yes","telephone","may","tue",271,1,"no"
"436",37,"employed","married","professional.course","no","yes","no","telephone","may","tue",198,2,"no"
"437",46,"employed","married","basic","no","yes","no","telephone","may","tue",150,1,"no"
"438",35,"employed","married","professional.course","no","no","no","telephone","may","tue",241,1,"no"
"439",47,"employed","divorced","university.degree","no","no","no","telephone","may","tue",196,1,"no"
"442",26,"employed","married","university.degree","no","no","no","telephone","may","tue",246,1,"no"
"444",45,"employed","married","university.degree","no","yes","no","telephone","may","tue",140,1,"no"
"445",34,"employed","married","basic","no","no","no","telephone","may","tue",175,1,"no"
"447",42,"employed","married","professional.course","no","no","no","telephone","may","tue",1623,1,"yes"
"450",38,"employed","married","basic","no","no","yes","telephone","may","tue",144,1,"no"
"453",60,"employed","married","university.degree","no","no","no","telephone","may","tue",451,2,"no"
"454",48,"employed","married","university.degree","no","yes","no","telephone","may","tue",159,1,"no"
"455",47,"employed","married","professional.course","no","yes","no","telephone","may","tue",170,1,"no"
"456",40,"employed","married","high.school","no","no","no","telephone","may","tue",243,1,"no"
"458",48,"unemployed","single","basic","no","yes","no","telephone","may","tue",112,1,"no"
"459",54,"employed","married","basic","no","no","no","telephone","may","tue",262,2,"no"
"460",40,"employed","married","basic","no","no","yes","telephone","may","tue",53,1,"no"
"462",42,"employed","divorced","high.school","no","no","no","telephone","may","tue",204,4,"no"
"463",52,"employed","married","university.degree","no","yes","no","telephone","may","tue",678,1,"no"
"464",31,"employed","single","basic","no","yes","no","telephone","may","tue",182,1,"no"
"465",32,"employed","married","high.school","no","no","no","telephone","may","tue",162,1,"no"
"466",44,"employed","married","high.school","no","yes","yes","telephone","may","tue",177,1,"no"
"469",52,"employed","married","basic","no","yes","no","telephone","may","tue",358,1,"no"
"470",42,"employed","married","university.degree","no","no","no","telephone","may","tue",1677,1,"yes"
"472",43,"employed","married","professional.course","no","yes","no","telephone","may","tue",310,1,"no"
"473",31,"employed","divorced","high.school","no","no","no","telephone","may","tue",47,1,"no"
"475",57,"employed","divorced","basic","no","no","no","telephone","may","tue",30,2,"no"
"479",57,"non-labor","married","university.degree","no","no","no","telephone","may","tue",116,1,"no"
"482",38,"employed","married","high.school","no","yes","no","telephone","may","tue",169,1,"no"
"483",42,"non-labor","married","basic","no","no","no","telephone","may","tue",145,1,"no"
"488",35,"employed","married","professional.course","no","yes","no","telephone","may","tue",278,1,"no"
"491",34,"employed","married","university.degree","no","yes","no","telephone","may","tue",226,2,"no"
"493",41,"employed","married","basic","no","no","no","telephone","may","tue",157,2,"no"
"497",38,"employed","married","professional.course","no","yes","no","telephone","may","tue",349,1,"no"
"499",53,"employed","married","professional.course","no","yes","no","telephone","may","tue",233,2,"no"
"503",33,"employed","married","basic","no","no","no","telephone","may","tue",198,1,"no"
"506",45,"employed","married","university.degree","no","no","no","telephone","may","tue",82,1,"no"
"507",40,"employed","single","university.degree","no","no","no","telephone","may","tue",198,3,"no"
"509",33,"employed","married","university.degree","no","yes","no","telephone","may","tue",120,1,"no"
"511",48,"employed","married","basic","no","no","no","telephone","may","tue",128,1,"no"
"512",43,"employed","married","high.school","no","no","no","telephone","may","tue",166,2,"no"
"513",37,"employed","married","university.degree","no","yes","no","telephone","may","tue",211,1,"no"
"514",50,"employed","married","basic","no","yes","yes","telephone","may","tue",369,1,"no"
"515",59,"employed","married","high.school","no","yes","no","telephone","may","tue",91,1,"no"
"518",52,"employed","married","basic","no","no","no","telephone","may","tue",371,2,"no"
"522",38,"employed","married","basic","no","no","no","telephone","may","tue",310,1,"no"
"523",39,"employed","married","basic","no","yes","no","telephone","may","tue",158,1,"no"
"524",39,"employed","married","basic","no","no","no","telephone","may","tue",198,1,"no"
"525",38,"employed","married","high.school","no","no","no","telephone","may","tue",145,1,"no"
"527",30,"employed","single","high.school","no","no","no","telephone","may","tue",102,1,"no"
"528",38,"employed","divorced","high.school","no","yes","yes","telephone","may","tue",179,2,"no"
"529",39,"employed","divorced","university.degree","no","no","no","telephone","may","tue",73,1,"no"
"530",44,"employed","married","high.school","no","no","no","telephone","may","tue",263,2,"no"
"531",36,"employed","married","high.school","no","no","no","telephone","may","tue",342,2,"no"
"533",41,"employed","married","basic","no","no","no","telephone","may","tue",13,1,"no"
"534",35,"employed","married","basic","no","no","no","telephone","may","tue",79,2,"no"
"535",41,"employed","married","high.school","no","no","no","telephone","may","tue",358,1,"no"
"537",35,"employed","single","high.school","no","yes","yes","telephone","may","tue",150,1,"no"
"540",33,"employed","married","university.degree","no","no","no","telephone","may","tue",792,1,"no"
"544",32,"employed","single","university.degree","no","yes","no","telephone","may","tue",242,2,"no"
"545",30,"employed","single","high.school","no","yes","no","telephone","may","tue",123,1,"no"
"546",43,"employed","married","professional.course","no","yes","yes","telephone","may","tue",161,2,"no"
"547",46,"employed","married","university.degree","no","no","no","telephone","may","tue",268,2,"no"
"548",35,"employed","divorced","high.school","no","no","yes","telephone","may","tue",259,2,"no"
"549",34,"employed","single","university.degree","no","yes","yes","telephone","may","tue",26,1,"no"
"551",39,"employed","single","university.degree","no","no","no","telephone","may","tue",424,2,"no"
"553",42,"employed","married","basic","no","no","no","telephone","may","tue",179,2,"no"
"554",57,"non-labor","married","university.degree","no","yes","no","telephone","may","tue",383,1,"no"
"556",40,"employed","married","basic","no","no","yes","telephone","may","tue",195,1,"no"
"557",42,"employed","married","high.school","no","no","yes","telephone","may","tue",1297,3,"yes"
"558",40,"employed","married","basic","no","no","no","telephone","may","tue",217,1,"no"
"561",41,"employed","married","basic","no","no","no","telephone","may","tue",189,1,"no"
"563",41,"employed","married","basic","no","yes","yes","telephone","may","tue",260,1,"no"
"566",35,"employed","married","basic","no","yes","no","telephone","may","tue",179,1,"no"
"569",23,"employed","single","university.degree","no","no","no","telephone","may","tue",266,3,"no"
"575",45,"employed","married","high.school","no","no","no","telephone","may","tue",352,2,"no"
"576",42,"employed","married","high.school","no","no","no","telephone","may","tue",695,3,"no"
"577",41,"employed","divorced","high.school","no","no","no","telephone","may","tue",76,4,"no"
"579",46,"employed","married","university.degree","no","no","no","telephone","may","tue",310,2,"no"
"582",30,"employed","married","basic","no","no","no","telephone","may","tue",112,2,"no"
"584",24,"employed","single","professional.course","no","no","yes","telephone","may","tue",140,2,"no"
"586",34,"employed","single","university.degree","no","no","yes","telephone","may","tue",262,2,"no"
"588",59,"employed","married","basic","no","yes","no","telephone","may","tue",424,2,"no"
"591",32,"employed","married","professional.course","no","no","no","telephone","may","tue",1906,3,"no"
"592",33,"employed","married","professional.course","no","yes","no","telephone","may","tue",219,2,"no"
"593",32,"employed","married","university.degree","no","no","no","telephone","may","tue",135,1,"no"
"595",46,"employed","married","university.degree","no","no","no","telephone","may","tue",407,2,"no"
"596",57,"employed","married","professional.course","no","yes","no","telephone","may","tue",402,4,"no"
"597",42,"employed","married","basic","no","no","no","telephone","may","tue",209,1,"no"
"598",48,"employed","married","professional.course","no","yes","no","telephone","may","tue",92,2,"no"
"600",34,"employed","married","high.school","no","no","no","telephone","may","tue",193,1,"no"
"601",32,"employed","single","university.degree","no","yes","yes","telephone","may","tue",65,1,"no"
"602",48,"employed","married","basic","no","no","no","telephone","may","tue",284,2,"no"
"603",47,"employed","married","basic","no","no","no","telephone","may","tue",285,1,"no"
"605",32,"employed","single","university.degree","no","yes","no","telephone","may","tue",278,1,"no"
"606",32,"employed","single","university.degree","no","no","no","telephone","may","tue",389,1,"no"
"607",36,"employed","married","high.school","no","no","no","telephone","may","tue",158,1,"no"
"610",50,"employed","married","high.school","no","no","no","telephone","may","tue",87,1,"no"
"611",46,"employed","married","basic","no","yes","no","telephone","may","tue",147,2,"no"
"612",41,"employed","married","high.school","no","no","no","telephone","may","tue",635,1,"no"
"613",43,"employed","single","basic","no","no","no","telephone","may","tue",289,1,"no"
